sts_heading,sts_pose_t,sts_vy_map,sts_x_acc,sts_y_acc,sts_yaw_rate,vx_map
2.09803115642,1570687369.5,0.0035036806342,0.171791759926,-0.172973771941,-0.000175809111994,-0.00772894182698
2.09802756765,1570687369.5,0.00372373562234,0.172977413022,-0.169630858615,-0.000254868777378,-0.00762919265091
2.09802335326,1570687369.51,0.00384151453055,0.149023228713,-0.165360739183,-0.00050279842222,-0.00768388773752
2.09801715985,1570687369.52,0.00393965664948,0.171613472732,-0.162112077953,-0.00042771645424,-0.00783361195488
2.09801157379,1570687369.53,0.00406061870418,0.20192208312,-0.165300975398,-0.000116435533387,-0.00800427488386
2.09800848362,1570687369.54,0.00428808579198,0.163483555353,-0.171700366612,-0.000109349394359,-0.00799318807275
2.09800545599,1570687369.54,0.00446563282321,0.115364719401,-0.171631330168,-0.000426840806874,-0.007991811008
2.09799989421,1570687369.55,0.00444688971509,0.144025365393,-0.160858294768,-0.000511546373769,-0.0082776434069
2.09799366032,1570687369.56,0.00442661767993,0.177923036941,-0.166899641685,-0.000197691774039,-0.00865306987828
2.0979899417,1570687369.57,0.00454850560074,0.168944019282,-0.175883143576,-9.23712097772e-05,-0.00882227935686
2.09798707346,1570687369.58,0.00466861268855,0.168944019282,-0.175883143576,-9.23712097772e-05,-0.00887555171444
2.09798317369,1570687369.58,0.00471858699702,0.128874973755,-0.169443820103,-0.000523319676316,-0.00898962893536
2.09797686837,1570687369.59,0.00471043343019,0.180937990956,-0.166275501979,-0.000472521476419,-0.00925519610993
2.09797022207,1570687369.6,0.00322536326379,0.170092033807,-0.171774577798,-0.000587508250174,0.0030748547527
2.09796266184,1570687369.61,0.00337521976876,0.14691340528,-0.172686439149,-0.000943766766045,0.00299247961319
2.09795225979,1570687369.62,0.00343500875428,0.218544987949,-0.170474102287,-0.00069129057259,0.00280497242168
2.09794388644,1570687369.62,0.00359724292101,0.185868271967,-0.163927305702,-0.000706988309319,0.00278171863357
2.09793539283,1570687369.63,0.00386830377097,0.163692910291,-0.157296845801,-0.00101531844768,0.00287492882172
2.09792444405,1570687369.64,0.00407462886782,0.195687263712,-0.168075026031,-0.000928213905278,0.00275137445364
2.09791419428,1570687369.65,0.00428636538003,0.173966741815,-0.173115194951,-0.00082725027256,0.00266910013445
2.09790476248,1570687369.66,0.0044638865709,0.1599453997,-0.165261701199,-0.000963512507631,0.00265279009209
2.09789425061,1570687369.66,0.00457906680379,0.158746225202,-0.153457187143,-0.0011335862359,0.00250609121617
2.09788237996,1570687369.67,0.00473154031225,0.147625745301,-0.15599454567,-0.001319217086,0.00226626773949
2.09786903493,1570687369.68,0.00489101988586,0.151486417181,-0.16858397538,-0.00138245970503,0.00196418459796
2.09785717221,1570687369.69,0.0058154237206,0.178394367492,-0.176338191853,-0.00110900845483,-0.0157638831322
2.097847497,1570687369.7,0.0105305087461,0.184463805027,-0.169781404726,-0.000809021467531,-0.0198147784712
2.09784022473,1570687369.7,0.0107159653926,0.168853311843,-0.16797999623,-0.000772655470214,-0.0198414260985
2.09783324656,1570687369.71,0.010911070231,0.149505157217,-0.175092933533,-0.000805045900656,-0.0199186222173
2.09782600971,1570687369.72,0.0110174222615,0.153641797503,-0.174374900673,-0.000855837708966,-0.0201066443033
2.09781836928,1570687369.73,0.0110709097005,0.169706592185,-0.167055871039,-0.000981308815299,-0.0203349968801
2.09780972951,1570687369.74,0.0111930027052,0.190477951416,-0.161777544334,-0.000956767253222,-0.0205100904472
2.09780128385,1570687369.74,0.0114329069586,0.215319656836,-0.161049969609,-0.000745847025416,-0.0205836086241
2.0977945299,1570687369.75,0.0117853404214,0.202154367789,-0.173899721751,-0.000733310993533,-0.0205121490266
2.09778787992,1570687369.76,0.0121190864783,0.155711228116,-0.181860000644,-0.0011555690328,-0.0203766376766
2.09777784974,1570687369.77,0.0122612232965,0.161240740347,-0.167339853708,-0.00152856072244,-0.0204059169044
2.09776484199,1570687369.78,0.0123436335693,0.20007287796,-0.166503011162,-0.00154870487292,-0.0205903473128
2.09775167166,1570687369.78,0.012568349772,0.181216061446,-0.176073143356,-0.00167258021313,-0.0206529990208
2.09773751438,1570687369.79,0.0128023577666,0.192149556963,-0.172595327794,-0.00159048667463,-0.0206299992293
2.09772573624,1570687369.8,0.00170693962177,0.171210698178,-0.171870624602,-0.00171301125953,-0.028098409476
2.09771296779,1570687369.81,0.00199584488051,0.144913313215,-0.162093383075,-0.0019026176765,-0.0280206331203
2.0976986744,1570687369.82,0.0022247431762,0.138810048591,-0.153619817622,-0.00201199476774,-0.0281298247583
2.09768350613,1570687369.82,0.0024500532914,0.14677560553,-0.159693588936,-0.00212132498734,-0.0283900856808
2.09766744229,1570687369.83,0.00268623774984,0.144633644941,-0.161395839801,-0.00217143502641,-0.0286512560948
2.09765097838,1570687369.84,0.00290611309382,0.142917062177,-0.161985521109,-0.0021733162834,-0.0288788876815
2.09763449168,1570687369.85,0.00310905137088,0.149584695096,-0.155087260825,-0.00214816112901,-0.0291173583366
2.0976182034,1570687369.86,0.00334242532642,0.156068258602,-0.156841797523,-0.00215380276946,-0.0293532414562
2.09760185457,1570687369.86,0.00361877756011,0.15842146727,-0.166809128566,-0.00231339429568,-0.0295557238556
2.09758421949,1570687369.87,0.00387133847976,0.198232238974,-0.168390655389,-0.00201759805867,-0.02970559435
2.09756895054,1570687369.88,0.00416783859599,0.220613866634,-0.169893932933,-0.00157597138143,-0.0296877444753
2.0975572076,1570687369.89,0.00457797505514,0.174823978287,-0.170110584131,-0.00183667141633,-0.0294497375616
