sts_chassis_t,sts_speed_mps,sts_steering
1570687256.15,0.03125,82.2291641235
1570687256.16,0.03125,82.2291641235
1570687256.17,0.03125,82.2291641235
1570687256.18,0.03125,82.2291641235
1570687256.19,0.03125,82.2291641235
1570687256.2,0.033203125,82.2291641235
1570687256.21,0.03515625,82.0833358765
1570687256.22,0.037109375,82.0833358765
1570687256.23,0.0390625,81.8541641235
1570687256.24,0.041015625,81.8541641235
1570687256.25,0.04296875,81.5208358765
1570687256.26,0.044921875,81.5208358765
1570687256.27,0.046875,81.1875
1570687256.28,0.046875,81.1875
1570687256.29,0.046875,80.9583358765
1570687256.3,0.046875,80.9583358765
1570687256.31,0.046875,80.9166641235
1570687256.32,0.048828125,80.9166641235
1570687256.33,0.05078125,80.9583358765
1570687256.34,0.052734375,80.9583358765
1570687256.35,0.0546875,81.0
1570687256.36,0.056640625,81.0
1570687256.37,0.05859375,80.9583358765
1570687256.38,0.060546875,80.9583358765
1570687256.39,0.0625,80.8958358765
1570687256.4,0.0625,80.8958358765
1570687256.41,0.0625,80.7291641235
1570687256.42,0.0625,80.7291641235
1570687256.43,0.0625,80.5
1570687256.44,0.0625,80.5
1570687256.45,0.0625,80.2291641235
1570687256.46,0.064453125,80.2291641235
1570687256.47,0.06640625,79.8333358765
1570687256.48,0.068359375,79.8333358765
1570687256.49,0.0703125,79.3958358765
1570687256.5,0.072265625,79.3958358765
1570687256.51,0.07421875,78.9166641235
1570687256.52,0.076171875,78.9166641235
1570687256.53,0.078125,78.5208358765
1570687256.54,0.078125,78.5208358765
1570687256.55,0.078125,78.1875
1570687256.56,0.080078125,78.1875
1570687256.57,0.08203125,77.8958358765
1570687256.58,0.083984375,77.8958358765
1570687256.59,0.0859375,77.6875
1570687256.6,0.087890625,77.6875
1570687256.61,0.08984375,77.5208358765
1570687256.62,0.091796875,77.5208358765
1570687256.63,0.09375,77.3541641235
1570687256.64,0.09375,77.3541641235
1570687256.65,0.09375,77.25
1570687256.66,0.095703125,77.25
1570687256.67,0.09765625,77.1875
1570687256.68,0.099609375,77.1875
1570687256.69,0.1015625,77.125
1570687256.7,0.103515625,77.125
1570687256.71,0.10546875,77.0833358765
1570687256.72,0.107421875,77.0833358765
1570687256.73,0.109375,77.0833358765
1570687256.74,0.109375,77.0833358765
1570687256.75,0.109375,77.0625
1570687256.76,0.111328125,77.0625
1570687256.77,0.11328125,77.0625
1570687256.78,0.115234375,77.0625
1570687256.79,0.1171875,77.0208358765
1570687256.8,0.119140625,77.0208358765
1570687256.81,0.12109375,77.0
1570687256.82,0.123046875,77.0
1570687256.83,0.125,76.9583358765
1570687256.84,0.125,76.9583358765
1570687256.85,0.125,76.9583358765
1570687256.86,0.125,76.9583358765
1570687256.87,0.125,77.0625
1570687256.88,0.126953125,77.0625
1570687256.89,0.12890625,77.1875
1570687256.9,0.130859375,77.1875
1570687256.91,0.1328125,77.3541641235
1570687256.92,0.134765625,77.3541641235
1570687256.93,0.13671875,77.5
1570687256.94,0.138671875,77.5
1570687256.95,0.140625,77.5625
1570687256.96,0.142578125,77.5625
1570687256.97,0.14453125,77.6666641235
1570687256.98,0.146484375,77.6666641235
1570687256.99,0.1484375,77.7291641235
1570687257.0,0.150390625,77.7291641235
1570687257.01,0.15234375,77.75
1570687257.02,0.154296875,77.75
1570687257.03,0.15625,77.8541641235
1570687257.04,0.15625,77.8541641235
1570687257.05,0.15625,77.9583358765
1570687257.06,0.15625,77.9583358765
1570687257.07,0.15625,78.0208358765
1570687257.08,0.158203125,78.0208358765
1570687257.09,0.16015625,78.0625
1570687257.1,0.162109375,78.0625
1570687257.11,0.1640625,78.25
1570687257.12,0.166015625,78.25
1570687257.13,0.16796875,78.5
1570687257.14,0.169921875,78.5
1570687257.15,0.171875,78.6875
1570687257.16,0.173828125,78.6875
1570687257.17,0.17578125,78.8333358765
1570687257.18,0.177734375,78.8333358765
1570687257.19,0.1796875,78.8541641235
1570687257.2,0.181640625,78.8541641235
1570687257.21,0.18359375,78.8958358765
1570687257.22,0.185546875,78.8958358765
1570687257.23,0.1875,78.8958358765
1570687257.24,0.1875,78.8958358765
1570687257.25,0.1875,78.9166641235
1570687257.26,0.189453125,78.9166641235
