x,y,theta,kappa,dkappa,speed,acc,station
453447.43438452255,4398759.825780755,-1.3749601015027426,0.002750763776945797,-0.00029353576891767095,3.7381380764712073,-0.14794075458791137,-0.2985825007959869
453447.4489975675,4398759.752490121,-1.374780975817112,0.0026040991101515237,-0.00044012913533018406,3.7351902293971473,-0.146832926384167,-0.22384925466585415
453447.46359912853,4398759.679257085,-1.3746019909018887,0.0024575497034596936,-0.0005866072976734461,3.7322651948093686,-0.145659789151199,-0.14917473952930738
453447.47818929725,4398759.606081186,-1.3744231456324667,0.002311114636064515,-0.0007329711763056012,3.7293642618969707,-0.14442304203753278,-0.07455848618809169
453447.49276656494,4398759.532968848,-1.374244438823254,0.0021647929372262146,0.0,3.726488685866082,-0.1403181877107642,0.0
453447.50736871676,4398759.459912033,-1.374151452763847,0.0019907699779048694,-0.00017391247434669116,3.723698741143936,-0.13867098206355385,0.07450181936266265
453447.5219599972,4398759.38690961,-1.3740585359334916,0.0018168765804176285,-0.00034769546911644683,3.720942055185371,-0.13699248614165915,0.14894817137550903
453447.5365405377,4398759.313960918,-1.3739656874942558,0.0016431111765793315,-0.0005213505514988067,3.7182192433085435,-0.13528374867869802,0.22333972740195013
453447.55111047236,4398759.241065291,-1.3738729065931103,0.0014694721699492798,-0.0006948793169209091,3.7155308998569394,-0.13354581840828836,0.29767717090201334
453447.5656699373,4398759.1682220455,-1.373780192362451,0.0012959579368110987,-0.0008682833880682522,3.712877598199371,-0.13177974406404808,0.37196119701284897
453447.5809558411,4398759.092427919,-1.3736875439206235,0.0011225668271525988,0.0,3.710259890729979,-0.12693959728465437,0.4461925121292371
453447.59549322096,4398759.019686405,-1.3736944845629029,0.0009222491714798695,-0.00020016806123797395,3.7077403851725044,-0.12500903404776006,0.5203724505357602
453447.61002080137,4398758.946993925,-1.3737014205266316,0.0007220665460071973,-0.00040020119311456295,3.7052596039816317,-0.12306727877641115,0.594502385701732
453447.6245387347,4398758.874349716,-1.3737083518844793,0.0005220168533695093,-0.0006001014914285573,3.702817763908934,-0.12111504038213519,0.6685830943056307
453447.6390471739,4398758.801753014,-1.3737152787095084,0.0003220979848781602,-0.0007998710632938627,3.7004150675277554,-0.11915302777645981,0.7426153572191836
453447.6535462727,4398758.729203049,-1.3737222010751469,0.00012230782128668004,-0.0009995120263743256,3.698051703233208,-0.11718194987091261,0.8165999592238025
453447.6680361858,4398758.656699047,-1.3737291190551622,-7.735576644348147e-05,-0.0011990265081185598,3.6957278452421747,-0.11520251557702121,0.8905376887270193
453447.68251706817,4398758.584240233,-1.3737360327236343,-0.0002768949163772074,-0.0013984166449947711,3.693443653593306,-0.1132154338063132,0.9644293374789215
453447.6969890757,4398758.511825826,-1.3737429421549292,-0.0004763117748399679,-0.0015976845817255842,3.691199274147024,-0.1112214134703162,1.0382757002885863
453447.7114523646,4398758.439455045,-1.3737498474236733,-0.0006756084956520744,-0.0017968324705228671,3.6889948385855185,-0.1092211634805578,1.112077574740518
453447.7259070917,4398758.367127106,-1.3737567486047255,-0.0008747872393629334,-0.0019958624703225584,3.6868304644127496,-0.1072153927485656,1.1858357609110826
453447.74035341426,4398758.294841219,-1.3737636457731517,-0.001073850172485301,-0.0021947767460194926,3.684706254954447,-0.10520481018586723,1.2595510610849419
453447.75479148986,4398758.2225966,-1.3737705390041972,-0.001272799466729535,-0.002393577467702224,3.6826222993581097,-0.10319012470399028,1.3332242794714908
453447.76922147645,4398758.150392455,-1.373777428373262,-0.00147163729823785,-0.0025922668098878553,3.6805786725930054,-0.10117204521446237,1.4068562219212917
453447.7835891331,4398758.07821717,-1.373885159833337,-0.0017025187001942668,-0.0027325544286548493,3.678575435450172,-0.09915128062881107,1.4804476956425103
453447.79788400733,4398758.00606784,-1.3741134047442025,-0.0019717176824855993,-0.002803071799653998,3.676612634542417,-0.09712853985856403,1.55399950891735
453447.8121713308,4398757.933956621,-1.3743415290920535,-0.0022407744690947974,-0.0028735519221257328,3.6746903023043167,-0.09510453181524882,1.627512470818489
453447.8264512607,4398757.861882718,-1.3745695353891656,-0.0025096920230759457,-0.0029439955722497502,3.6728084569922173,-0.09307996541039307,1.7009873909255135
453447.8407239545,4398757.789845337,-1.3747974261485074,-0.00277847330830057,-0.0030144035264198766,3.670967102684234,-0.09105554955552436,1.7744250790413558
453447.85498956963,4398757.717843684,-1.3750252038828608,-0.0030471212884197935,-0.0030847765609722036,3.6691662292802527,-0.08903199316217032,1.8478263449087273
453447.8692482634,4398757.645876965,-1.3752528711039402,-0.0033156389258264854,-0.0031551154519132195,3.667405812501927,-0.08701000514185855,1.9211919979265546
453447.88350019295,4398757.573944386,-1.3754804303215142,-0.0035840291806174276,-0.0032254209746479475,3.665685813892681,-0.08499029440611665,1.9945228468664156
453447.8977455153,4398757.502045155,-1.3757078840425239,-0.003852295009555464,-0.003295693903708076,3.6640061808177085,-0.08297356986647222,2.0678196995889744
453447.9119843872,4398757.43017848,-1.3759352347702043,-0.004120439365031657,-0.0033659350124800947,3.6623668464639714,-0.08096054043445289,2.1410833627604164
