x,y,theta,kappa,dkappa,speed,acc,station
453449.624785435,4398792.939313415,2.393993966166608,0.20905738041478794,0.003798750474461923,1.2936869834831544,0.011376370627038529,0.20657881170009934
453449.60432417237,4398792.955152503,2.3989924160907234,0.21025488592319183,0.005065670579040291,1.2938330993779141,0.003296398810933965,0.23245428185771305
453449.58386185754,4398792.970992406,2.403991123069348,0.21145245301552573,0.006332655837322386,1.2938212662888555,-0.004419545015608969,0.2583310827091174
453449.5634009311,4398792.986831232,2.4089894908574507,0.21264993884616384,0.007599555123493773,1.2936587037401217,-0.011777564417372162,0.28420612767332976
453449.5429437207,4398793.002667183,2.4139869508665797,0.213847207195315,0.008866224321647806,1.2933525091845606,-0.018783762959137508,0.31007647333913707
453449.5224924426,4398793.018498541,2.4189829616932403,0.21504412835603462,0.010132526206248037,1.2929096580037243,-0.025444244205686903,0.33593931702367064
453449.5020492036,4398793.0343236765,2.4239770086472774,0.21624057902123656,0.011398330322590602,1.2923370035078692,-0.03176511172180223,0.3617919943309795
453449.48161600326,4398793.05014104,2.428968603280257,0.217436442170705,0.012663512867266639,1.2916412769359564,-0.0377524690722654,0.38763197671060523
453449.4611947356,4398793.065949168,2.433957282913852,0.2186316069581063,0.013927956568624687,1.2908290874556512,-0.04341241982185831,0.4134568690161554
453449.44078719086,4398793.081746672,2.4389426101682155,0.21982596859800085,0.015191550567233068,1.2899069221633228,-0.04875106753536283,0.43926440706387804
453449.4203950579,4398793.097532246,2.443924172490373,0.22101942825285498,0.016454190296342316,1.2888811460840452,-0.053774515777560886,0.46505245519123556
453449.4000199261,4398793.11330466,2.4489015816825948,0.2222118929200529,0.01771577736234756,1.287758002171597,-0.05848886811323434,0.49081900381547905
453449.3796632863,4398793.129062758,2.4538744734307816,0.22340327531890825,0.018976219425250927,1.286543611308461,-0.06290022810716514,0.5165621669922219
453449.3593265344,4398793.144805461,2.45884250683285,0.22459349377767646,0.020235430079123942,1.2852439723058235,-0.06701469932413512,0.5422801799740145
453449.3390109718,4398793.160531762,2.463805363927106,0.2257824721205663,0.021493328732569945,1.2838649619035767,-0.07083838532892621,0.5679713967689177
453449.3187178081,4398793.176240724,2.468762749220632,0.2269701395547517,0.022749840489186466,1.2824123347703158,-0.07437738968632028,0.5936342876990778
453449.29844816297,4398793.191931481,2.473714389217669,0.22815643055738385,0.024004896028027647,1.2808917235033412,-0.07763781596109924,0.6192674369592994
453449.2782030677,4398793.207603232,2.4786600319479977,0.2293412847626029,0.02525843148406664,1.2793086386286574,-0.08062576771804499,0.6448695401756204
453449.25798346766,4398793.223255248,2.4835994464953144,0.2305246468485499,0.026510388328658,1.2776684686009732,-0.08334734852193941,0.670439401963886
453449.23779022385,4398793.238886861,2.4885324225256236,0.2317064664243787,0.027760713250000082,1.2759764798037017,-0.0858086619375644,0.6959759334883224
453449.21762411494,4398793.25449747,2.4934587698156108,0.23288669791726768,0.02900935803359746,1.2742378165489605,-0.08801581152970184,0.7214781500201113
453449.19748583913,4398793.270086533,2.4983783177810253,0.23406530045943183,0.030256279442723324,1.2724575010775716,-0.08997490086313364,0.7469451684959634
453449.1773760164,4398793.285653571,2.5032909150050697,0.23524223777513442,0.03150143909888187,1.2706404335590613,-0.09169203350264171,0.7723762050766936
453449.1572951899,4398793.301198161,2.5081964287667695,0.236417478067699,0.0327448033622707,1.2687913920916603,-0.09317331301300794,0.7977705727057935
453449.1372438285,4398793.316719944,2.513094744569365,0.23759099390652122,0.03398634321224323,1.2669150327023033,-0.09442484295901418,0.8231276786680073
453449.1172223281,4398793.332218611,2.5179857656686853,0.2387627621140807,0.03522603412777111,1.2650158893466301,-0.09545272690544238,0.8484470221479039
453449.097231014,4398793.34769391,2.522869412601538,0.2399327636529529,0.036463855967906585,1.2630983739089843,-0.09626306841707441,0.873728191788453
453449.0772701427,4398793.363145644,2.5277456227140833,0.24110098351282103,0.03769979285224491,1.261166776202414,-0.09686197105869215,0.8989708632495974
453449.0573399038,4398793.378573665,2.5326143496902205,0.24226741059748785,0.0389338330413868,1.2592252639686716,-0.09725553839507753,0.9241747967668288
453449.0374404219,4398793.393977878,2.537475563079968,0.24343203761188764,0.040165968817400734,1.2572778828782138,-0.0974498739910124,0.9493398347097599
453449.01757175854,4398793.409358233,2.542329247827845,0.24459486094909794,0.041396196364285466,1.2553285565302021,-0.0974510814112787,0.9744658991407005
453448.9977339145,4398793.424714731,2.547175403801253,0.2457558805773515,0.04262451564843234,1.253381086452502,-0.09726526422065829,0.9995529893732304
453448.97792683105,4398793.440047418,2.5520140453188587,0.2469150999270482,0.04385093029908771,1.2514391521016832,-0.09689852598393309,1.0246011795307735
453448.95815039234,4398793.455356383,2.556845200678975,0.24807252577776678,0.04507544748881539,1.2495063108630202,-0.09635697026588497,1.0496106161051724
453448.93835867586,4398793.470565604,2.5616979155489528,0.24922461947501243,0.04627582852471859,1.2475859980504913,-0.09564670063129585,1.0745815155152623
453448.9156260228,4398793.480805884,2.5684268080687778,0.25014448527746647,0.04602942446959385,1.24568152690678,-0.0947738206449476,1.0995141616654445
453448.8929279295,4398793.491030595,2.5751454708666675,0.25106295263710865,0.04578339501474102,1.2437960886032733,-0.09374443387162218,1.1244089035042617
453448.87026402075,4398793.501239909,2.5818540150132314,0.2519800367377235,0.04553773609288627,1.2419327522400632,-0.09256464387610139,1.149266152582971
453448.84763386636,4398793.511434017,2.588552567815574,0.25289575498268796,0.04529244304219455,1.2400944648459453,-0.09124055422316718,1.1740863806141186
453448.82503698365,4398793.521613136,2.595241272158402,0.25381012690489735,0.045047510630397615,1.2382840513784206,-0.08977826847760143,1.1988701170301133
453448.80247283954,4398793.531777509,2.6019202858451163,0.25472317407669137,0.04480293307892216,1.2365042147236935,-0.08818389020418593,1.2236179465418011
453448.7799408527,4398793.541927395,2.6085897809389254,0.25563492001978005,0.0445587040870179,1.2347575356966736,-0.08646352296770278,1.2483305066970394
453448.7574403959,4398793.552063079,2.615249943103934,0.25654539011516947,0.044314816855885654,1.233046473040974,-0.08462327033293375,1.2730084854392705
453448.7349707982,4398793.562184861,2.6219009709462533,0.25745461151308807,0.044071264112805486,1.231373363428913,-0.08266923586466078,1.2976526186660962
453448.71253134706,4398793.572293064,2.628543075355097,0.25836261304291247,0.04382803813526473,1.2297404214615124,-0.08060752312766571,1.3222636877878517
