238.72,-309.79,0.02,0.00,0.00,21.95,0.00
238.92,-309.78,0.02,0.00,0.00,22.07,0.00
239.12,-309.78,0.02,0.00,0.00,22.19,0.00
239.32,-309.78,0.02,0.00,0.00,22.30,0.00
239.52,-309.77,0.02,0.00,0.00,22.42,0.00
239.72,-309.77,0.02,0.00,0.00,22.53,0.00
239.92,-309.76,0.02,0.00,0.00,22.65,0.00
240.12,-309.76,0.02,0.00,0.00,22.76,0.00
240.32,-309.76,0.02,0.00,0.00,22.88,0.00
240.52,-309.75,0.02,-0.00,0.00,22.99,0.00
240.72,-309.75,0.02,-0.00,0.00,23.10,0.00
240.92,-309.75,0.01,-0.00,0.00,23.21,0.00
241.12,-309.74,0.01,-0.00,0.00,23.33,0.00
241.32,-309.74,0.00,-0.00,0.00,23.44,0.00
241.52,-309.74,0.00,-0.00,0.00,23.55,0.00
241.72,-309.74,-0.00,-0.00,0.00,23.66,0.00
241.92,-309.74,-0.00,-0.00,0.00,23.77,0.00
242.12,-309.74,-0.00,-0.00,0.00,23.87,0.00
242.32,-309.74,-0.00,-0.00,0.00,23.98,0.00
242.52,-309.74,-0.00,-0.00,0.00,24.09,0.00
242.72,-309.74,-0.00,-0.00,0.00,24.20,0.00
242.92,-309.74,-0.00,-0.01,0.00,24.30,0.00
243.12,-309.74,-0.00,-0.01,0.00,24.41,0.00
243.32,-309.74,-0.00,-0.01,0.00,24.52,0.00
243.52,-309.75,-0.00,-0.01,0.00,24.62,0.00
243.72,-309.75,-0.00,-0.01,0.00,24.73,0.00
243.92,-309.75,-0.00,-0.01,0.00,24.83,0.00
244.12,-309.75,-0.00,-0.01,0.00,24.94,0.00
244.32,-309.75,-0.00,-0.01,0.00,25.04,0.00
244.52,-309.75,-0.00,-0.01,0.00,25.14,0.00
244.72,-309.75,-0.00,-0.01,0.00,25.25,0.00
244.92,-309.75,-0.00,-0.01,0.00,25.35,0.00
245.12,-309.75,-0.00,-0.01,0.00,25.45,0.00
245.32,-309.75,-0.00,-0.01,0.00,25.55,0.00
245.52,-309.75,-0.00,-0.01,0.00,25.65,0.00
245.72,-309.75,-0.00,-0.01,0.00,25.75,0.00
245.92,-309.75,-0.00,-0.01,0.00,25.85,0.00
246.12,-309.75,-0.00,-0.01,0.00,25.95,0.00
246.32,-309.75,-0.00,-0.01,0.00,26.05,0.00
246.52,-309.75,-0.00,-0.01,0.00,26.15,0.00
246.72,-309.75,-0.00,-0.01,0.00,26.25,0.00
246.92,-309.75,-0.00,-0.01,0.00,26.35,0.00
247.12,-309.75,-0.00,-0.01,0.00,26.45,0.00
247.32,-309.75,-0.00,-0.01,0.00,26.55,0.00
247.52,-309.75,-0.00,-0.02,0.00,26.64,0.00
247.72,-309.75,-0.00,-0.02,0.00,26.74,0.00
247.92,-309.75,-0.00,-0.02,0.00,26.84,0.00
248.12,-309.75,-0.00,-0.02,0.00,26.93,0.00
248.32,-309.75,-0.00,-0.02,0.00,27.03,0.00
248.52,-309.75,-0.00,-0.02,0.00,27.13,0.00
248.72,-309.76,-0.00,-0.02,0.00,27.22,0.00
248.92,-309.76,-0.00,-0.02,0.00,27.32,0.00
249.12,-309.76,-0.00,-0.02,0.00,27.41,0.00
249.32,-309.76,-0.00,-0.02,0.00,27.51,0.00
249.52,-309.76,-0.00,-0.02,0.00,27.60,0.00
249.72,-309.76,-0.00,-0.02,0.00,27.69,0.00
249.92,-309.76,-0.00,-0.02,0.00,27.79,0.00
250.12,-309.76,-0.00,-0.02,0.00,0.00,0.00
#
