Time,Ax,Ay,Vx,Vy,Yaw,Steer_SW,AVz,X_S1,Y_S1
            0, -0.000868990784511,             0,            80,             0,             0,             0,             0, -2.80981731415,             0
         0.01, -0.0232573822141, 0.00112672860269, 79.9934310913, 0.000176926958375, -1.52990069182e-05, 0.00102101662196, -0.00555095588788, -2.58761167526, -2.85584405901e-06
         0.02, -0.0258119162172, 0.00292837712914, 79.9846725464, 0.000991132692434, -9.05495617189e-05, 0.00552963139489, -0.00767071917653, -2.36544656754, -1.56247260747e-05
         0.03, -0.0266073103994, 0.00463579548523, 79.9755249023, 0.00239933398552, -0.000138300340041, 0.0113778682426, 0.000404679158237, -2.14331841469, -3.60234807886e-05
         0.04, -0.0284083690494, 0.00585024245083, 79.9657897949, 0.00416262168437, -5.79042971367e-05, 0.0157522428781, 0.0174327325076, -1.92122030258, -6.01048195676e-05
         0.05, -0.0295213758945, 0.00633916119114, 79.9557342529, 0.00593776535243, 0.000222551330808, 0.0164785012603, 0.040058683604, -1.69914710522, -8.4313309344e-05
         0.06, -0.0257460325956, 0.00603309739381, 79.9456558228, 0.00742398155853, 0.000738550617825, 0.012691732496, 0.064687885344, -1.47709560394, -0.000108658445242
         0.07, -0.0291308835149, 0.00519644096494, 79.9363479614, 0.00837287027389, 0.00149072310887, 0.00408313656226, 0.0860831290483, -1.25505959988, -0.000131850902108
         0.08, -0.0271768718958, 0.0040590390563, 79.9264068604, 0.00867841113359, 0.00246464740485, -0.00930357351899, 0.11011030525, -1.03303527832, -0.000152531312779
         0.09, -0.0280458088964, 0.00271934107877, 79.9165878296, 0.00821522250772, 0.00366965541616, -0.0278280414641, 0.128169566393, -0.811020076275, -0.000171254388988
          0.1, -0.0228806324303, 0.00103086710442,  79.907333374, 0.0069748419337, 0.00500859878957, -0.0501575656235, 0.137235462666, -0.589013576508, -0.000184607735719
         0.11, -0.0182551369071, -0.000104429251223, 79.9002532959, 0.00511791696772, 0.00643550790846, -0.0754400268197, 0.142652660608, -0.36701208353, -0.000192440187675
         0.12, -0.0160817280412, -0.00141150027048, 79.8930511475, 0.00281435879879, 0.00785395782441, -0.102144703269, 0.135708734393, -0.145017564297, -0.000193013140233
         0.13, -0.0181498657912, -0.00195771665312, 79.8917694092, 0.000434695743024, 0.00909699592739, -0.127086728811, 0.117767088115, 0.0769806876779, -0.000183372249012
         0.14, -0.0180661864579, -0.000987201579846, 79.8852767944, -0.00196926482022, 0.0103933373466, -0.151864618063, 0.133291572332,  0.2990013659, -0.000179137205123
         0.15, -0.0173350777477, 0.000373076007236, 79.8790588379, -0.00404867716134, 0.011799974367, -0.17742370069, 0.137192040682, 0.521031856537, -0.000184246848221
         0.16, -0.0169279873371, 0.00176941463724, 79.8729782104, -0.00559709547088, 0.0131879467517, -0.202029183507, 0.128646820784, 0.74305576086, -0.00019254158542
         0.17, -0.0165168680251, 0.00253133731894, 79.8670578003, -0.00651259208098, 0.0144101940095, -0.224024832249, 0.102970145643, 0.965056419373, -0.000195349086425
         0.18, -0.0149825075641, 0.00277879438363, 79.8615493774, -0.00680675776675, 0.0153073500842, -0.241441532969, 0.0678448602557, 1.18702065945, -0.000183998679859
         0.19, -0.0139886345714, 0.002439097967, 79.8564758301, -0.00658646365628, 0.0158162619919, -0.253236323595, 0.027229661122, 1.40893876553, -0.00015686203551
          0.2, -0.0134363370016, 0.00173995748628, 79.8516540527, -0.00594760058448, 0.0158990640193, -0.258766323328, -0.01462788973, 1.63080453873, -0.000113017282274
         0.21, -0.0127463387325, 0.000724908371922, 79.8471221924, -0.00499772001058, 0.015538229607, -0.257780045271, -0.0569049492478, 1.85261523724, -5.21586953255e-05
         0.22, -0.0119158914313, -0.000765913748182, 79.8427352905, -0.00394639419392, 0.0147804655135, -0.251033365726, -0.0925973951817, 2.07437086105, 2.38616757997e-05
         0.23, -0.00774054275826, -0.00230680196546, 79.8391494751, -0.00289204530418, 0.0136344125494, -0.238868623972, -0.129079610109, 2.29607534409, 0.000114840288006
         0.24, -0.00919479876757, -0.00386693095788, 79.8366546631, -0.00200684648007, 0.0122072715312, -0.222793847322, -0.149787798524,  2.5177397728, 0.000216203494347
         0.25, -0.00840140040964, -0.0053381617181, 79.8334960938, -0.00135141063947, 0.0105634741485, -0.204129964113, -0.172209054232, 2.73937940598, 0.000325902976329
         0.26, -0.00962204113603, -0.00660322466865,  79.830329895, -0.000919813232031, 0.00874009821564, -0.183075919747, -0.185458570719, 2.96100759506, 0.000440696894657
         0.27, -0.00948817562312, -0.00778849003837, 79.8269805908, -0.000832469668239, 0.00683379406109, -0.160705685616, -0.190612539649, 3.18263554573, 0.000554134545382
         0.28, -0.0112940603867, -0.00845324713737, 79.8233108521, -0.00105411664117, 0.00490993633866, -0.137952625751, -0.190671250224, 3.40427160263, 0.00066325138323
         0.29, -0.011272626929, -0.00843874178827, 79.8193511963, -0.00147465534974, 0.0030352731701, -0.115676477551, -0.182366937399,  3.6259226799, 0.000764916825574
          0.3, -0.0126239452511, -0.00827945396304, 79.8150634766, -0.00196505640633, 0.00126340507995, -0.0947371572256, -0.17214268446, 3.84759378433, 0.000857067178003
         0.31, -0.00929653737694, -0.00805845949799, 79.8110733032, -0.00255261664279, -0.000397148658521, -0.0752480477095, -0.160416260362, 4.06928634644, 0.000939366407692
         0.32, -0.0104945339262, -0.00772940041497, 79.8076705933, -0.00317259994335, -0.00195758137852, -0.0568812452257, -0.151126742363, 4.29100084305, 0.00101145438384
         0.33, -0.0100233918056, -0.00679520331323, 79.8040084839, -0.00369498692453, -0.00342769944109, -0.0390105471015, -0.142794832587, 4.51272916794, 0.00107176369056
         0.34, -0.00963082164526, -0.00599803635851, 79.8005447388, -0.00398249644786, -0.00484343338758, -0.0204551722854, -0.137677937746, 4.73446321487, 0.00111834111158
         0.35, -0.00847477000207, -0.00506629887968,   79.79737854, -0.00402581784874, -0.00622576428577, -0.000684861268383, -0.135492995381, 4.95619487762, 0.00115152471699
         0.36, -0.0090764677152, -0.0039220219478, 79.7942810059, -0.00370115227997, -0.00760213984177, 0.0208791531622, -0.135963305831, 5.17791604996, 0.00117212580517
         0.37, -0.00927040074021, -0.0028182414826, 79.7910385132, -0.0029549181927, -0.00899520982057, 0.0444449484348, -0.139625623822, 5.39961767197, 0.0011822602246
         0.38, -0.0078186057508, -0.00209968723357, 79.7879333496, -0.00178666319698, -0.0104424627498, 0.0700502544641, -0.147197335958, 5.62129259109, 0.00118644058239
