Time,Ax,Ay,Vx,Vy,Yaw,Steer_SW,AVz,X_S1,Y_S1
            0, -0.0054496480152, 5.03023543822e-18,            90,             0,             0,             0,             0, -2.80981731415,             0
         0.01, -0.0278039239347, 0.0012612772407, 89.9917831421, 0.000195205328055, -1.3003094864e-05, 0.00088734459132, -0.00488837342709, -2.55983614922, -2.86193903776e-06
         0.02, -0.0294770952314, 0.00317341415212, 89.9815673828, 0.00107078044675, -7.24260462448e-05, 0.00471622636542, -0.00502357352525, -2.30989933014, -1.56715668709e-05
         0.03, -0.0307735744864, 0.0048620402813, 89.9710235596, 0.00251157977618, -8.08600671007e-05, 0.00918893422931, 0.00569893466309, -2.06000208855, -3.59041296178e-05
         0.04, -0.0316574983299, 0.00583931524307, 89.9598922729, 0.00420505786315, 5.97014441155e-05, 0.0116202002391, 0.0244820527732, -1.8101375103, -5.92514188611e-05
         0.05, -0.0313018746674, 0.006335450802, 89.9484405518, 0.00579947931692, 0.000422070675995, 0.0101009672508, 0.0492695234716, -1.56030070782, -8.31728975754e-05
         0.06, -0.0305460803211, 0.00592487631366, 89.9380874634, 0.00701745972037, 0.00103696028236, 0.00397560931742, 0.0736744850874, -1.31048727036, -0.000108304120658
         0.07, -0.0302684996277, 0.00501034269109, 89.9269943237, 0.00764205260202, 0.00188851810526, -0.00682119838893, 0.0988631024957, -1.0606906414, -0.000132111497805
         0.08, -0.0312054231763, 0.00372876808979, 89.9160995483, 0.00747428787872, 0.00300182192586, -0.022920422256, 0.121347308159, -0.810907363892, -0.000155013956828
         0.09, -0.0250456426293, 0.0019222216215, 89.9058609009, 0.00643359590322, 0.00428772857413, -0.0432100258768, 0.134485140443, -0.561135649681, -0.000173441047082
          0.1, -0.0238609146327, 0.000445217156084, 89.8977661133, 0.00463220663369, 0.00569456443191, -0.0668511092663, 0.141909390688, -0.311370700598, -0.000186744146049
         0.11, 0.0102844154462, -0.000921539380215, 89.8916015625, 0.00224568461999, 0.00710711954162, -0.0921111479402, 0.129803657532, -0.0616141557693, -0.000192229344975
         0.12, -0.0218377653509, -0.00107545556966, 89.8866119385, -0.000218946050154, 0.00839843787253, -0.115830458701, 0.133720681071, 0.188157767057, -0.000190382648725
         0.13, -0.0208230279386, -1.39065386975e-05, 89.8790893555, -0.00275551248342, 0.00986284017563, -0.141381189227, 0.150420606136, 0.437948405743, -0.000198614507099
         0.14, -0.0205425284803, 0.0015176179586, 89.8717803955, -0.00496635772288, 0.0114370305091, -0.168254777789, 0.153138846159, 0.68774241209, -0.000213116261875
         0.15, -0.0202266331762, 0.00246473075822, 89.8646316528, -0.00662465346977, 0.0129657657817, -0.194423943758, 0.139338031411, 0.937522053719, -0.000226185235078
         0.16, -0.0183708239347, 0.00274858530611, 89.8578720093, -0.00772219989449, 0.0142628727481, -0.21760314703, 0.109982788563, 1.18727195263, -0.00022748313495
         0.17, -0.0172445531934, 0.00246731261723, 89.8516159058, -0.00831634551287, 0.0152342170477, -0.236289530993, 0.0753993466496, 1.43698072433, -0.000213948107557
         0.18, -0.0163448527455, 0.00180422724225,  89.845664978, -0.00847123377025, 0.0158243793994, -0.249561399221, 0.0355967544019, 1.68663954735, -0.000184444317711
         0.19, -0.0158002991229, 0.000751893443521, 89.8400726318, -0.00825399160385, 0.015986032784, -0.256665378809, -0.00492120813578, 1.93624269962, -0.000137728333357
          0.2, -0.0131304599345, -0.00072083104169, 89.8348617554, -0.00787504855543, 0.0157340317965, -0.257954597473, -0.0478204973042, 2.18578720093, -7.44841599953e-05
         0.21, -0.00805392861366, -0.00241201836616, 89.8313522339, -0.00737360678613, 0.0150560634211, -0.253197878599, -0.0817970484495, 2.43527626991, 5.39950497114e-06
         0.22, -0.0089461337775, -0.00399127649143, 89.8278808594, -0.00695000402629, 0.0140513721853, -0.244124993682, -0.115717291832, 2.68472266197, 9.82991696219e-05
         0.23, -0.00936931371689, -0.00535828713328, 89.8246765137, -0.00652825273573, 0.01272445824, -0.230725944042, -0.143285512924, 2.93413972855, 0.000203546194825
         0.24, -0.00890910159796, -0.00662871077657, 89.8214492798, -0.00621630903333, 0.0111714284867, -0.214136973023, -0.161542356014, 3.18353939056, 0.000315106241032
         0.25, -0.0106224752963, -0.00786587223411, 89.8180160522, -0.00608855905011, 0.00945947133005, -0.195199370384, -0.176713302732, 3.43293213844, 0.000428415660281
         0.26, -0.0109293749556, -0.00889970548451, 89.8143692017, -0.00621890323237, 0.00763901136816, -0.174387514591, -0.184485390782, 3.68232750893, 0.000539445958566
         0.27, -0.0116820279509, -0.00966155808419,  89.810256958, -0.00659403391182, 0.00576642295346, -0.152633294463, -0.188572704792, 3.93173289299, 0.000646190543193
         0.28, -0.00964271277189, -0.00956762768328, 89.8068084717, -0.00705342832953, 0.003871768713, -0.13039188087, -0.191072538495, 4.18115329742, 0.000747409590986
         0.29, -0.0106822252274, -0.00891846604645,  89.803062439, -0.0073626562953, 0.00196153344586, -0.107372798026, -0.190473601222, 4.43059015274, 0.000840929453261
          0.3, -0.0106134079397, -0.00783042237163, 89.7993087769, -0.00733645213768, 5.88917573623e-05, -0.0834052860737, -0.189755067229, 4.68003702164, 0.000923186074942
         0.31, -0.00976639706641, -0.00683658896014, 89.7957000732, -0.006965553388, -0.00183688499965, -0.0580287650228, -0.188686951995, 4.92949008942, 0.000992025248706
         0.32, -0.0105097731575, -0.00573108019307, 89.7921524048, -0.00623032497242, -0.00372469238937, -0.0310388803482, -0.187187492847, 5.17894363403, 0.00104684871621
