Time,Ax,Ay,Vx,Vy,Yaw,Steer_SW,AVz,X_S1,Y_S1
            0, 0.011371485889, -2.51511771911e-18,            40,             0,             0,             0,             0, -2.80981731415,             0
         0.01, -0.0107861086726, 0.000671106390655, 39.9983062744, 0.000108857326268, -2.54229362326e-05, 0.00202798796818, -0.00796305201948, -2.69871520996, -2.65162475444e-06
         0.02, -0.0138451270759, 0.00200931634754, 39.9939117432, 0.000659776909743, -0.00015603666543, 0.01119785849, -0.0170155707747, -2.58764314651, -1.49417901412e-05
         0.03, -0.0155739933252, 0.00374986231327, 39.9886627197, 0.00179938948713, -0.000348867994035, 0.02596350573, -0.0198430102319, -2.47660040855, -3.52867828042e-05
         0.04, -0.0168775171041, 0.00565015664324, 39.9829368591, 0.00358743593097, -0.000533689570148, 0.0435106828809, -0.0145496567711, -2.36558294296, -6.07240726822e-05
         0.05, -0.0170878507197, 0.00726496148854, 39.9769058228, 0.00594607368112, -0.000626394699793, 0.0604518055916, -0.000903862877749, -2.25458669662, -8.77939382917e-05
         0.06, -0.0186874996871, 0.00828729569912, 39.9706001282, 0.00866025965661, -0.000549695803784, 0.0735473632812, 0.0192758571357, -2.14360570908, -0.000113215013698
         0.07, -0.020032029599, 0.00816203467548, 39.9637641907, 0.0113913100213, -0.000257322826656, 0.0806833356619, 0.0424248427153, -2.03263545036, -0.000135203605168
         0.08, -0.0210130792111, 0.00696955667809, 39.9564628601, 0.0137217137963, 0.000270957185421, 0.0802574306726, 0.0653611943126, -1.92167246342, -0.000151256754179
         0.09, -0.0207462757826, 0.00514668598771, 39.9491043091, 0.0153671503067, 0.0010211992776, 0.0718887448311, 0.0857837498188, -1.81071448326, -0.000159859642736
          0.1, -0.021702144295, 0.00323151331395, 39.9417114258, 0.0161903072149, 0.0019654261414, 0.0560990273952, 0.102653294802, -1.69976043701, -0.000161099043908
         0.11, -0.0203943178058, 0.00152336759493, 39.9340438843, 0.0162471327931, 0.00305741885677, 0.0341264978051, 0.114373393357, -1.58881127834, -0.000155658563017
         0.12, -0.0166223328561, 9.6399904578e-05, 39.9275360107, 0.0156568065286, 0.00426306528971, 0.00718712667003, 0.123936615884, -1.47786808014, -0.000145046724356
         0.13, -0.0160877257586, -0.00107228511479, 39.9219055176, 0.0145488083363, 0.00554999755695, -0.0235953256488, 0.12923887372, -1.36692869663, -0.000130781700136
         0.14, -0.0186521783471, -0.00191541691311, 39.9157981873, 0.013076598756, 0.00686637312174, -0.0568964295089, 0.128720745444, -1.25599324703, -0.00011293595162
         0.15, -0.0167972892523, -0.00252415449359, 39.9094924927, 0.0113742556423, 0.00816812831908, -0.0914191156626, 0.12636885047, -1.14506518841, -9.19505400816e-05
         0.16, -0.0150866052136, -0.00302129145712, 39.9039230347, 0.00949781015515, 0.00944523420185, -0.126445263624, 0.123126462102, -1.03414690495, -6.95293201716e-05
         0.17, -0.0149612873793, -0.00334425433539, 39.8986206055, 0.00751921907067, 0.0106651801616, -0.161384239793, 0.114032909274, -0.923240363598, -4.50849183835e-05
         0.18, -0.0142392339185, -0.00360473780893, 39.8934326172, 0.00552668003365, 0.0117655647919, -0.195037007332, 0.100237585604, -0.812349081039, -1.72169184225e-05
         0.19, -0.0122671527788, -0.00388171360828, 39.8887062073, 0.00355128990486, 0.0127046080306, -0.226428419352, 0.0822534039617, -0.70147562027, 1.44960695252e-05
          0.2, -0.00896444357932, -0.00397689361125, 39.8849334717, 0.00163801934104, 0.0134448138997, -0.25434628129, 0.0621973648667, -0.590620696545, 4.96066822961e-05
         0.21, -0.00646336050704, -0.00378619809635, 39.8822746277, -0.000114908943942, 0.0139918420464, -0.278345525265, 0.0437686368823, -0.479783445597, 8.65869733389e-05
         0.22, -0.00483987852931, -0.00364442588761, 39.8803062439, -0.0016606869176, 0.0143349217251, -0.298313498497, 0.0223419684917, -0.36896443367, 0.000125895705423
         0.23, -0.00675490638241, -0.00378998252563,  39.878288269, -0.00304392003454, 0.0144455246627, -0.31390145421, -0.00183682143688, -0.258165866137, 0.000168819577084
         0.24, -0.00264267716557, -0.00400819815695, 39.8764228821, -0.00433075008914, 0.0143043259159, -0.324312150478, -0.0261748582125, -0.147389620543, 0.000214820931433
         0.25, 0.0167551971972, -0.00394469499588, 39.8806190491, -0.005475634709, 0.0138909630477, -0.328134179115, -0.0555011890829, -0.036623608321, 0.000262037996436
         0.26, -0.00467905728146, -0.00356885953806,  39.881401062, -0.00646298890933, 0.0133143858984, -0.324420034885, -0.056564129889, 0.0741618946195, 0.00030129562947
         0.27, -0.00490481546149, -0.00231896690093, 39.8797111511, -0.00718696881086, 0.0128014162183, -0.315819352865, -0.0469996705651, 0.184965923429, 0.000322196865454
         0.28, -0.00474308570847, -0.000321934785461, 39.8780174255, -0.00736047234386, 0.012369742617, -0.303208470345, -0.04150217399, 0.295784026384, 0.000325815082761
         0.29, -0.00469695031643, 0.00208097300492, 39.8763694763, -0.00677273329347, 0.011964622885, -0.286839395761, -0.0429459102452, 0.40660905838, 0.000317759782774
          0.3, -0.00490591907874, 0.00465872837231, 39.8746986389, -0.00525691872463, 0.0114886555821, -0.26660618186, -0.0572969391942, 0.517432868481, 0.000306382367853
         0.31, -0.00557164056227, 0.00725010829046, 39.8728599548, -0.00267505319789, 0.0108289150521, -0.242226287723, -0.0756542533636, 0.628247857094, 0.000301192543702
         0.32, -0.00567201757804, 0.00869813468307, 39.8708724976, 0.000755364482757, 0.0100029921159, -0.21494910121, -0.0938521251082, 0.739047288895, 0.000304244080326
         0.33, -0.00569463521242, 0.00848214607686, 39.8688926697, 0.00455692969263, 0.00896284822375, -0.185479044914, -0.116520702839, 0.849825978279, 0.000321190746035
         0.34, -0.0058778738603, 0.00710500963032, 39.8668441772, 0.00819749012589, 0.00768362311646, -0.15484187007, -0.140457779169, 0.960581243038, 0.000356858974556
         0.35, -0.00472031347454, 0.00530431140214, 39.8650512695, 0.0113802580163, 0.0061623188667, -0.123623363674, -0.162673726678, 1.07131302357, 0.000412709370721
         0.36, -0.00405925093219, 0.00333643192425, 39.8635101318, 0.0140421418473, 0.00443145306781, -0.0922924205661, -0.180659160018, 1.18202388287, 0.000486665492645
         0.37, -0.00323678134009, 0.00134450150654, 39.8622970581, 0.0161388367414, 0.00254065357149, -0.0613631978631, -0.193103387952, 1.29271757603, 0.000575320213102
         0.38, -0.00271278712898, -0.00042580725858, 39.8612518311, 0.0176523011178, 0.000557805178687, -0.0315002053976, -0.197993814945, 1.40339851379, 0.000674318289384
         0.39, -0.00211296975613, -0.00195519370027, 39.8604278564, 0.0186083354056, -0.00144150899723, -0.00350586115383, -0.1961158216, 1.51407158375, 0.000779061054345
          0.4, -0.00119665893726, -0.00329132075422, 39.8598327637, 0.019032696262, -0.00339804403484, 0.0219652615488, -0.190168917179, 1.62474119663, 0.000885849294718
         0.41, 0.000155658883159, -0.00436099246144, 39.8596496582, 0.0189823433757, -0.00528883095831, 0.0449711680412, -0.182653531432, 1.73541128635, 0.000992065761238
         0.42, 0.000391258770833, -0.00513510126621, 39.8597602844, 0.0185378100723, -0.00707063265145, 0.0652568563819, -0.168579399586, 1.84608507156, 0.00109479611274
         0.43, 0.00111818523146, -0.00572923570871, 39.8600158691, 0.0177392866462, -0.0086865266785, 0.0819688588381, -0.151108905673, 1.95676481724, 0.00119148869999
         0.44, 0.00253504118882, -0.00620016362518, 39.8606834412, 0.0166360978037, -0.0101308170706, 0.095003709197, -0.135618031025, 2.06745195389, 0.00128143629991
         0.45, 0.00397776765749, -0.00653480365872, 39.8618011475, 0.015288262628, -0.0114342523739, 0.105249091983, -0.123041048646, 2.17814803123, 0.00136436161119
         0.46, 0.00624711904675, -0.0065865823999, 39.8636322021, 0.0137662757188, -0.0125911114737, 0.11337364465, -0.105918206275, 2.28885412216, 0.00143816671334
         0.47, 0.00746454391629, -0.00639660004526, 39.8661003113, 0.012146115303, -0.0135552575812, 0.118766546249, -0.0861092284322, 2.39957404137, 0.00150090816896
         0.48, 0.00638541765511, -0.0064018717967, 39.8686904907, 0.0104405945167, -0.0143222650513, 0.12096491456, -0.0677511766553,  2.5103123188, 0.0015534091508
         0.49, 0.00697453366593, -0.00666229659691,  39.870880127, 0.00856287311763, -0.0149227008224, 0.120487473905, -0.0528368279338, 2.62107038498, 0.00159662612714
          0.5, 0.00781853683293, -0.00678170425817, 39.8735656738, 0.00649115303531, -0.0153710162267, 0.118319772184, -0.0371027514338, 2.73184800148, 0.00162918260321
         0.51, 0.00800556410104, -0.00668789865449, 39.8763618469, 0.0043035550043, -0.0156568493694, 0.11499030143, -0.0208571460098, 2.84264421463, 0.00164891127497
         0.52, 0.00797791127115, -0.0064544454217, 39.8792037964, 0.00206554937176, -0.0157874431461, 0.110940232873, -0.0061961854808,  2.9534573555, 0.00165523111355
         0.53, 0.00841915700585, -0.00604617223144, 39.8820762634, -0.00015576829901, -0.0157824177295, 0.106675200164, 0.00635249819607, 3.06428408623, 0.00164844025858
         0.54, 0.00909591745585, -0.00536567531526, 39.8852348328, -0.00226150709204, -0.0156647060066, 0.102634742856, 0.016532342881, 3.17512106895, 0.00162936595734
         0.55, 0.00868566706777, -0.00451782112941, 39.8883514404, -0.00415012799203, -0.0154680842534, 0.0992430597544, 0.0221166461706, 3.28596520424, 0.0015997994924
         0.56, 0.0081294849515, -0.00342286820523, 39.8913497925, -0.00572129711509, -0.0152334319428, 0.0969845280051, 0.0248241536319, 3.39681363106, 0.00156219408382
         0.57, 0.00826174113899, -0.00220406684093, 39.8941574097, -0.00688734976575, -0.0149708501995, 0.0957253351808, 0.0285235401243, 3.50766396523, 0.00151831121184
         0.58, 0.008240503259, -0.00116946070921, 39.8971290588, -0.0076850890182, -0.0146573949605, 0.0947421491146, 0.0343667082489, 3.61851620674, 0.00146856380161
         0.59, 0.0073130405508, -0.000505718577188, 39.8998947144, -0.00822161324322, -0.0142956385389, 0.0934012457728, 0.0372391194105, 3.72936987877, 0.00141509831883
          0.6, 0.0072780312039, -0.000159115646966, 39.9024353027, -0.00859711598605, -0.0139250867069, 0.091718301177, 0.0373319648206, 3.84022402763, 0.00136133667547
